,CUDI_REPRO,CULT_REPRO,CUNO_REPRO,GRLT,GRWD,GRWT100,HDG_80HEAD,LIGLT,LLT,LWD,PLT_POST,SDHT,country,region,subespecie
IRIS_313.11361,4.0,128.0,15.0,9.1,2.9,2.2,96.0,20.0,70.0,1.5,15.0,50.0,India,SAS,IND
IRIS_313.10089,3.0,58.0,8.0,7.6,4.0,3.5,68.0,10.0,37.0,1.0,17.0,35.0,Bulgaria,EUR,JAP
IRIS_313.11476,4.0,62.0,17.0,7.8,2.8,2.0,56.0,17.0,34.0,1.0,17.0,33.0,India,SAS,AUS
IRIS_313.11451,6.0,130.0,29.0,8.3,2.5,1.6,123.0,19.0,59.0,1.2,28.0,54.0,India,SAS,ARO
IRIS_313.9218,5.0,149.0,22.0,7.9,3.0,2.6,122.0,21.0,68.0,1.1,26.0,43.0,Bangladesh,SAS,IND
IRIS_313.11212,5.0,150.0,11.0,8.6,3.2,2.5,128.0,14.0,73.0,1.1,28.0,62.0,Bangladesh,SAS,IND
IRIS_313.8968,5.0,98.0,16.0,7.8,3.2,2.4,96.0,19.0,39.0,1.1,25.0,56.0,Sri_Lanka,SAS,IND
IRIS_313.11489,5.0,91.0,20.0,9.2,3.3,2.4,95.0,16.0,42.0,1.5,21.0,39.0,India,SAS,AUS
IRIS_313.9019,5.0,147.0,15.0,9.7,3.1,3.3,135.0,21.0,54.0,1.6,28.0,39.0,Thailand,SEA,IND
IRIS_313.8302,4.0,70.0,8.0,8.3,3.3,3.1,76.0,16.0,32.0,1.2,18.0,54.0,Bhutan,SAS,ADM
IRIS_313.8857,4.0,103.0,11.0,7.9,2.7,2.1,82.0,20.0,50.0,1.0,19.0,51.0,Bhutan,SAS,JAP
IRIS_313.9669,5.0,115.0,15.0,9.0,3.3,3.1,134.0,21.0,44.0,1.7,25.0,39.0,Thailand,SEA,IND
IRIS_313.10902,4.0,132.0,15.0,8.3,2.7,2.2,139.0,20.0,52.0,1.3,27.0,26.0,Cambodia,SEA,IND
IRIS_313.11939,6.4,138.0,19.0,9.8,2.6,2.9,120.0,22.0,65.2,1.7,25.4,52.0,Burkina_Faso,AFR,IND
